Epoch 1
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaGetSymbolAddress         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc         0.49%       4.209ms         0.49%       4.209ms     183.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            23  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%     315.000us         0.04%     315.000us      14.318us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     310.000us         8.90%     310.000us     155.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     441.000us        12.66%     441.000us      73.500us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.92%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                  cudaStreamIsCapturing         0.00%       9.000us         0.00%       9.000us       0.529us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            17  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        31.06%       1.082ms     360.667us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         0.01%      84.000us         0.01%      84.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      34.000us         0.98%      34.000us       5.667us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         0.20%       7.000us       2.333us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     203.000us         5.83%     203.000us      50.750us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     653.000us        18.74%     653.000us     108.833us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     392.000us        11.25%     392.000us     130.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 865.878ms
Self CUDA time total: 3.484ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.38 Mb     606.38 Mb           128  
                                       cudaLaunchKernel         9.99%     532.000us         9.99%     532.000us       7.288us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
                                  cudaStreamIsCapturing         0.13%       7.000us         0.13%       7.000us       0.304us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            23  
                                             cudaMalloc        88.23%       4.699ms        88.23%       4.699ms     204.304us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            23  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.55%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.24%      13.000us         0.24%      13.000us       0.591us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     305.000us         8.76%     305.000us     152.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     440.000us        12.63%     440.000us      73.333us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.92%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        31.07%       1.082ms     360.667us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         1.31%      70.000us         1.31%      70.000us      11.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         0.20%       7.000us       2.333us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     208.000us         5.97%     208.000us      52.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.72%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     395.000us        11.34%     395.000us     131.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.09%       5.000us         0.09%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.326ms
Self CUDA time total: 3.483ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     605.76 Mb     605.76 Mb           128  
                                       cudaLaunchKernel        11.88%     547.000us        11.88%     547.000us       7.493us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.58%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      51.000us         1.47%      51.000us      10.200us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.58%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.26%      12.000us         0.26%      12.000us       0.545us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     305.000us         8.77%     305.000us     152.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     441.000us        12.69%     441.000us      73.500us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.96%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                  cudaStreamIsCapturing         0.15%       7.000us         0.15%       7.000us       0.412us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            17  
                                             cudaMalloc        85.92%       3.955ms        85.92%       3.955ms     232.647us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            17  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        31.04%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         1.67%      77.000us         1.67%      77.000us      12.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.35%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.04%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.35%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.95%      33.000us       5.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.000us         1.84%      64.000us      12.800us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     203.000us         5.84%     203.000us      50.750us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     655.000us        18.84%     655.000us     109.167us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     392.000us        11.28%     392.000us     130.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.11%       5.000us         0.11%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.603ms
Self CUDA time total: 3.476ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.63 Mb     604.63 Mb           128  
                                       cudaLaunchKernel        49.04%       1.050ms        49.04%       1.050ms      14.384us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.000us         0.83%      29.000us       4.833us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.33%       7.000us         0.33%       7.000us       0.318us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     307.000us         8.81%     307.000us     153.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     440.000us        12.63%     440.000us      73.333us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.95%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        31.07%       1.082ms     360.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.72%     101.000us         4.72%     101.000us      16.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         0.20%       7.000us       2.333us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     206.000us         5.91%     206.000us      51.500us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.72%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.14%       3.000us         0.14%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                             cudaMalloc        45.54%     975.000us        45.54%     975.000us     325.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     394.000us        11.31%     394.000us     131.333us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.23%       5.000us         0.23%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.141ms
Self CUDA time total: 3.483ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.01 Mb     606.01 Mb           128  
                                       cudaLaunchKernel        34.52%     998.000us        34.52%     998.000us      13.671us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.58%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.50%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.55%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
                                  cudaStreamIsCapturing         0.14%       4.000us         0.14%       4.000us       0.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                             cudaMalloc        61.26%       1.771ms        61.26%       1.771ms     354.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.31%       9.000us         0.31%       9.000us       0.409us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     305.000us         8.78%     305.000us     152.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.63%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.93%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        31.05%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
